inglizcha	uzbekcha
consistently	doimiy ravishda	
drift	drift	
drain	drenaj	
prosecution	prosecution	
maximum	maksimal	
announcement	e'lon	
warrior	jangchi	
prediction	bashorat qilish	
bacteria	bakteriyalar	
questionnaire	anketa	
mud	loy	
infrastructure	infratuzilma	
hurry	hurry	
privilege	imtiyoz	
temple	ma'bad	
medium	o'rta	
outdoor	outdoor	
and	va	
or	yoki	
broadcast	translyatsiya	
re	qayta	
leap	leap	
random	tasodifiy	
wrist	bilak	
curtain	parda	
monitor	monitor	
pond	suv havzasi	
domain	domen	
guilt	ayb	
cattle	cattle	
playoff	musobaqa final o'yini	
minimum	eng kam	
fiscal	moliyaviy	
skirt	yubka	
hence	shu sababli	
database	ma'lumotlar bazasi	
uncomfortable	noqulay	
aim	maqsad	
execute	execute	
limb	oyoq-qo'l	
ideology	ideology	
average	o'rtacha	
tune	sozlash	
continuing	davom etmoqda	
railroad	railroad	
endure	chidang	
radiation	nurlanish	
chronic	surunkali	
peaceful	tinch	
innovation	yangilik	
strain	strain	
guitar	gitara	
replacement	replacement	
behave	o'zini tutish	
administer	boshqarish	
simultaneously	bir vaqtning o'zida	
dancer	raqqosa	
amendment	tuzatish	
pad	yostiq	
transmission	yuqish	
await	await	
retired	nafaqaga chiqqan	
trigger	qo'zg'atuvchi	
spill	to'kmoq	
grace	inoyat	
virtual	virtual	
response	javob	
colony	koloniya	
adoption	asrab olish	
slide	slayd	
indigenous	mahalliy	
convict	mahkum	
civilian	fuqarolik	
towel	towel	
modify	o'zgartirish	
particle	zarracha	
award	mukofot	
glance	qarash	
landing	landing	
conduct	xulq-atvor	
boost	kuchaytirish	
festival	festival	
grip	grip	
undermine	undermine	
freshman	birinchi kurs talabasi	
outer	tashqi	
European	Evropa	
survey	tadqiqot	
separation	ajratish	
traditionally	traditionally	
govern	boshqarish	
southeast	janubi-sharq	
intelligent	aqlli	
ballot	ballot	
rhetoric	ritorika	
vitamin	vitamin	
enthusiasm	g'ayrat	
accommodate	joylashtirmoq	
praise	Maqtov	
injure	jarohat etkazish	
wilderness	cho'l	
nearby	yaqin	
endless	cheksiz	
mandate	mandat	
pause	pauza	
respectively	navbati bilan	
uncertainty	uncertainty	
chaos	tartibsizlik	
mechanical	mexanik	
canvas	tuval	
forty	qirq	
lobby	lobbi	
profound	chuqur	
format	format	
trait	xususiyat	
currency	valyuta	
reserve	reserve	
beam	nur	
abuse	suiiste'mol qilish	
astronomer	astronom	
corruption	korruptsiya	
contractor	contractor	
doctrine	ta'limot	
genuine	genuine	
thumb	bosh barmog'i	
unity	birlik	
compromise	murosaga kelish	
behavioral	xulq-atvori	
exclusive	eksklyuziv	
scatter	scatter	
commonly	commonly	
convey	etkazmoq	
twist	burama	
complexity	murakkablik	
fork	vilka	
disk	disk	
relieve	yengillashtirmoq	
suspicion	shubha	
health-care	Sog'liqni saqlash	
health-care	Sog'liqni saqlash	
health-care	Sog'liqni saqlash	
health-care	health-care	
residence	yashash joyi	
meaningful	mazmunli	
sidewalk	yulka	
Olympics	Olimpiada	
technological	texnologik	
signature	signature	
wow	Qoyil	
suspend	to'xtatib turish	
rebel	isyonchi	
frozen	muzlatilgan	
spouse	spouse	
fluid	suyuqlik	
pension	pensiya	
resume	Rezyume; qayta boshlash	
theoretical	nazariy	
sodium	natriy	
promotion	rag'batlantirish	
delicate	nozik	
forehead	peshona	
rebuild	qayta qurish	
bounce	sakrash	
electrical	elektr	
detective	detektiv	
traveler	traveler	
click	bosing	
compensation	compensation	
exit	Chiqish	
attraction	diqqatga sazovor joy	
dedicate	dedicate	
altogether	altogether	
pickup	termoq	
carve	o'ymakorlik	
needle	needle	
belly	qorin	
portfolio	portfel	
shuttle	servis	
invisible	ko'rinmas	
timing	vaqt	
engagement	nishon	
ankle	to'piq	
transaction	bitim	
counterpart	hamkasb	
historically	tarixiy jihatdan	
firmly	qat'iy	
mild	yumshoq	
rider	chavandoz	
noon	peshin	
exhibit	ko'rgazma	
amid	o'rtasida	
identical	bir xil	
precise	aniq	
anxious	tashvishli	
structural	tizimli	
residential	Aholi yashash joyi	
diagnose	tashxis qo'yish	
carbohydrate	carbohydrate	
liberty	ozodlik	
poster	plakat	
theology	ilohiyot	
nonprofit	notijorat tashkilot	
crawl	sudralib yurish	
oxygen	kislorod	
sum	sum	
provided	taqdim etilgan	
businessman	Tadbirkor	
promising	istiqbolli	
conscious	ongli	
determination	qat'iyat	
donor	donor	
hers	uning	
pastor	ruhoniy	
jazz	jazz	
opera	opera	
frame	ramka	
acquisition	sotib olish	
pit	chuqur	
wildlife	yovvoyi hayot	
punish	jazolash	
primary	birlamchi	
equity	tenglik	
doorway	eshik	
departure	departure	
teenage	o'spirin	
guidance	ko'rsatma	
statue	haykal	
pursuit	ta'qib qilish	
repair	ta'mirlash	
gym	sportzal	
oral	og'zaki	
clerk	xizmatchi	
Israeli	Isroil	
envelope	konvert	
reporting	hisobot berish	
destination	boradigan joy	
fist	musht	
endorse	tasdiqlash	
exploration	razvedka	
generous	saxiy	
thereby	shu bilan	
overall	umuman olganda	
indicator	ko'rsatkich	
sunlight	quyosh nuri	
feedback	mulohaza	
spectrum	spektr	
purple	siyohrang	
laser	lazer	
bold	qalin	
reluctant	istamay	
expertise	tajriba	
tune	tune	
volunteer	ko'ngilli	
hint	ishora	
sharply	keskin	
parade	parad	
advocate	advokat	
realm	realm	
ban	taqiqlash	
strip	Ip	
cancel	bekor qilish	
blend	aralashtiramiz	
therapist	terapevt	
slice	tilim	
peel	tozalash	
recipient	oluvchi	
hesitate	ikkilanib turing	
flip	aylantirish	
accounting	accounting	
debate	munozara	
bias	tarafkashlik	
metaphor	metafora	
candle	sham	
judicial	sud	
entity	tashkilot	
full-time	to'liq stavka	
lamp	chiroq	
servant	xizmatkor	
addition	qo'shimcha	
regulatory	tartibga soluvchi	
diplomatic	diplomatik	
elegant	oqlangan	
reception	ziyofat	
vanish	g'oyib bo'lmoq	
automatically	avtomatik ravishda	
chin	iyak	
necessity	zaruriyat	
confess	confess	
racism	irqchilik	
starter	boshlovchi	
interior	ichki makon	
banking	bank faoliyati	
casual	casual	
gravity	tortishish kuchi	
enroll	ro'yxatdan o'tish	
diminish	kamaytirish	
prevention	oldini olish	
Arab	Arab	
minimize	minimallashtirish	
chop	chop	
performer	ijrochi	
intent	niyat	
isolate	ajratmoq	
pump	nasos	
inventory	inventarizatsiya	
productive	productive	
assembly	yig'ilish	
civic	fuqarolik	
silk	silk	
magnitude	kattalik	
steep	tik	
hostage	garovga olingan	
collector	kollektor	
popularity	mashhurlik	
alien	begona	
dynamic	dinamik	
equation	tenglama	
angel	farishta	
offering	qurbonlik	
rage	g'azab	
photography	fotosurat	
repair	ta'mirlash	
prohibit	taqiqlamoq	
representative	vakil	
content	tarkib	
realistic	realistik	
tender	tender	
gathering	yig'ilish	
outstanding	ajoyib	
stumble	qoqilish	
automobile	avtomobil	
artificial	sun'iy	
abstract	mavhum	
descend	tushmoq	
tide	to'lqin	
shared	shared	
hopefully	umid qilamanki	
readily	tayyor holda	
cooperate	hamkorlik qilish	
revolutionary	inqilobiy	
romance	romantik	
hardware	apparat	
pillow	yostiq	
kit	to'plam	
continent	qit'a	
seal	muhr	
circuit	elektron	
sink	cho'kish	
ruling	hukm qilish	
shortage	tanqislik	
annually	har yili	
scan	skanerlash	
deadline	topshirish muddati; tugatish muddati	
rear	rear	
processing	processing	
ranch	chorvachilik	
coastal	qirg'oq bo'yi	
undertake	o'z zimmasiga olmoq	
softly	yumshoq	
reserve	zaxira	
verbal	og'zaki	
tribal	qabila	
automatic	avtomatik	
credibility	ishonchlilik	
import	Import	
sexually	jinsiy jihatdan	
divine	ilohiy	
sentiment	tuyg'u	
cart	arava	
oversee	nazorat qilish	
stem	ildiz	
o'clock	soat	
elder	elder	
o'clock	soat	
o'clock	soat	
o'clock	soat	
pro	pro	
inspiration	inspiration	
Dutch	Golland	
quantity	miqdor	
trailer	treyler	
o'clock	soat	
Greek	Yunoncha	
monument	monument	
bid	taklif qilish	
quest	izlanish	
sacrifice	qurbonlik	
invitation	taklifnoma	
accuracy	accuracy	
juror	sudya	
officially	rasmiy ravishda	
broker	vositachi	
treasure	xazina	
loyalty	loyalty	
talented	iste'dodli	
gasoline	benzin	
stiff	qattiq	
output	output	
nominee	nomzod	
extended	kengaytirilgan	
diabetes	diabet	
slap	shapaloq	
toxic	zaharli	
alleged	da'vo qilingan	
jaw	jag '	
grief	grief	
mysterious	sirli	
rocket	raketa	
donate	donate	
inmate	inmate	
tackle	hal qilish	
dynamics	dynamics	
dignity	qadr-qimmat	
carpet	gilam	
parental	parental	
bubble	qabariq	
barn	ombor	
flash	flash	
seventh	ettinchi	
tightly	mahkam	
protective	himoya	
tuck	tortib olish	
drum	baraban	
faint	holsiz	
dilemma	dilemma	
input	kiritish	
specialize	ixtisoslashmoq	
northeast	shimoli-sharqda	
shallow	sayoz	
liability	javobgarlik	
sail	suzib yurish	
merchant	savdogar	
stadium	stadion	
improved	yaxshilandi	
defeat	defeat	
associated	associated	
withdrawal	withdrawal	
refrigerator	refrigerator	
nest	uya	
thoroughly	yaxshilab	
lane	chiziq	
ancestor	ajdod	
condemn	condemn	
steam	bug '	
accent	urg'u	
optimistic	nekbin	
unite	birlashmoq	
equip	jihozlamoq	
shrimp	mayda qisqichbaqa	
homeland	vatan	
rack	tokcha	
costume	kostyum	
courtroom	sud zali	
statute	nizom	
cartoon	cartoon	
besides	besides	
productivity	hosildorlik	
grin	kulish	
symbolic	ramziy	
seal	muhr	
aunt	xola	
agriculture	qishloq xo'jaligi	
hostile	dushman	
root	root	
conceive	conceive	
combined	birlashtirilgan	
instantly	bir zumda	
hay	pichan	
vaccine	vaccine	
bonus	bonus	
collaboration	collaboration	
opposed	opposed	
orbit	orbitada	
grasp	tushunish	
patience	sabr	
spite	g'azab	
tropical	tropik	
voting	ovoz berish	
patrol	patrol	
willingness	tayyorlik	
revelation	revelation	
jewelry	zargarlik buyumlari	
Cuban	Kuba	
haul	sudramoq	
concede	tan olish	
wagon	vagon	
afterward	keyin	
spectacular	ajoyib	
sheer	shaffof	
prior	oldin	
immune	immune	
reliability	ishonchlilik	
alongside	alongside	
bush	buta	
exotic	ekzotik	
fascinating	ajoyib	
clip	klip	
thigh	son	
drawer	tortma	
regard	e'tibor	
sheep	qo'ylar	
discourage	tushkunlikka tushirish	
coordinator	coordinator	
ideological	mafkuraviy	
runner	yuguruvchi	
secular	dunyoviy	
intimate	samimiy	
empire	imperiya	
exam	imtihon	
documentary	hujjatli	
neutral	neutral	
biology	biologiya	
flexible	egiluvchan	
progressive	progressiv	
web	veb	
conspiracy	conspiracy	
casualty	halokat	
republic	respublika	
execution	execution	
whale	kit	
functional	funktsional	
draft	qoralama	
instinct	instinkt	
teammate	jamoadoshi	
aluminum	alyuminiy	
ministry	vazirlik	
verdict	hukm	
instruct	ko'rsatma berish	
skull	bosh suyagi	
self-esteem	o'z-o'zini hurmat	
ease	osonlik	
cooperative	kooperativ	
manipulate	manipulyatsiya qilish	
bee	ari	
practitioner	practitioner	
loop	pastadir	
edit	edit	
whip	whip	
puzzle	jumboq	
mushroom	qo'ziqorin	
subsidy	subsidiya	
boil	qaynatiladi	
tragic	fojiali	
mathematics	mathematics	
mechanic	mechanic	
jar	jar	
earthquake	zilzila	
pork	cho'chqa go'shti	
creativity	ijodkorlik	
safely	xavfsiz	
underlying	asosda	
dessert	shirin	
sympathy	hamdardlik	
fisherman	baliqchi	
incredibly	nihoyatda	
isolation	izolyatsiya	
sock	sock	
eleven	o'n bir	
entrepreneur	Tadbirkor	
syndrome	syndrome	
bureau	bureau	
workplace	ish joyi	
ambition	ambitsiya	
touchdown	tegish	
utilize	foydalanish	
breeze	shabada	
costly	qimmat	
ambitious	shuhratparast	
Christianity	Nasroniylik	
presumably	ehtimol	
influential	ta'sirchan	
translation	tarjima	
uncertain	noaniq	
dissolve	eritmoq	
statistical	statistik	
gut	ichak	
metropolitan	metropoliten	
aesthetic	estetik	
insert	kiritmoq	
helmet	dubulg'a	
waist	bel	
lion	sher	
accomplishment	amalga oshirish	
crush	ezish	
actively	faol ravishda	
cliff	jarlik	
minimal	minimal	
cord	sim	
fortunately	baxtiga	
cocaine	kokain	
illusion	xayol	
anonymous	noma'lum	
tolerate	toqat qil	
appreciation	minnatdorchilik	
commissioner	komissar	
flexibility	egiluvchanlik	
instructional	ko'rsatma	
scramble	aralashtirmoq	
tumor	tumor	
decorate	bezash	
equivalent	teng	
experienced	tajribali	
donation	xayriya	
diary	kundalik	
sibling	qardosh	
irony	kinoya	
spoon	qoshiq	
midst	o'rtada	
alley	xiyobon	
interact	o'zaro ta'sir qilish	
soap	sovun	
rival	rival	
short-term	qisqa muddat	
pin	pin	
hockey	xokkey	
persist	davom eting	
supplier	etkazib beruvchi	
momentum	momentum	
shed	to'kmoq	
liquid	suyuqlik	
icon	belgisi	
elephant	fil	
consequently	consequently	
legislature	qonun chiqaruvchi	
associate	sherik	
franchise	franchayzing	
correctly	correctly	
mentally	aqliy	
foster	tarbiyachi	
bicycle	velosiped	
encouraging	dalda beruvchi	
cheat	aldash	
heal	shifo	
filter	filtr	
coin	tanga	
exploit	ekspluatatsiya	
accessible	kirish mumkin	
organism	organizm	
sensation	sensatsiya	
partially	partially	
dried	quritilgan	
minimum	minimum	
pro	pro	
conservation	konservatsiya	
shove	surish	
backyard	orqa hovli	
charter	nizom	
stove	pechka	
consent	rozilik	
comprise	o'z ichiga oladi	
reminder	eslatma	
alike	bir xil	
placement	joylashtirish	
dough	xamir	
grandchild	nabira	
dam	to'g'on	
reportedly	xabarlarga ko'ra	
well-known	taniqli	
surrounding	atrof	
ecological	ekologik	
unprecedented	misli ko'rilmagan	
columnist	sharhlovchi	
workout	tayyorlamoq	
preliminary	dastlabki	
patent	Patent	
shy	uyatchan	
quote	tirnoq	
disabled	nogiron	
gross	yalpi	
hormone	gormon	
texture	to'qima	
counter	hisoblagich	
pencil	qalam	
associate	sherik	
frontier	chegara	
spray	buzadigan amallar	
disclose	oshkor qilish	
banker	bankir	
interfere	aralashmoq	
oak	eman	
eighth	sakkizinchi	
notebook	daftar	
outline	kontur	
gaze	qarash	
attendance	davomat	
speculation	spekülasyon	
uncover	ochmoq	
behalf	nomidan	
innovative	innovatsion	
shark	Akula	
reward	sovrin	
mill	tegirmon	
installation	o'rnatish	
stimulate	rag'batlantirish	
tag	yorliq	
vertical	vertikal	
fleet	park	
catalog	katalog	
outsider	begona	
sacrifice	qurbonlik	
desperately	umidsiz	
stance	pozitsiya	
compel	majburlash	
sensitivity	sezgirlik	
instant	lahzali	
debut	debyut	
proclaim	e'lon qiling	
worldwide	butun dunyo bo'ylab	
hike	zamm	
required	talab qilinadi	
confrontation	qarama-qarshilik	
colorful	rangli	
ideal	ideal	
constitution	konstitutsiya	
trainer	murabbiy	
Thanksgiving	Minnatdorchilik kuni	
scent	hid	
stack	suyakka	
eyebrow	qosh	
sack	xalta	
cease	to'xtatish	
inherit	meros	
tray	laganda	
pioneer	kashshof	
organizational	tashkiliy	
textbook	darslik	
shrink	kichraytirish	
emerging	paydo bo'layotgan	
dot	dot	
wheat	bug'doy	
fierce	shiddatli	
envision	tasavvur qilish	
rational	oqilona	
kingdom	qirollik	
aisle	qator	
weaken	zaiflashtirmoq	
protocol	protocol	
exclusively	exclusively	
vocal	vokal	
marketplace	bozor	
openly	ochiq	
unfair	adolatsiz	
terrain	relyef	
deploy	tarqatish	
risky	xavfli	
pasta	makaron	
genre	janr	
distract	distract	
merit	merit	
planner	rejalashtiruvchi	
depressed	tushkunlikka tushgan	
chunk	parcha	
closest	eng yaqin	
discount	chegirma	
ladder	narvon	
migration	migratsiya	
invade	bosib olish	
hurricane	bo'ron	
retailer	chakana sotuvchi	
classify	tasniflash	
coup	to'ntarish	
aid	yordam	
ambassador	elchi	
density	zichlik	
supportive	qo'llab-quvvatlovchi	
curiosity	qiziqish	
aggression	tajovuz	
stimulus	rag'batlantirish	
journalism	journalism	
robot	robot	
flood	toshqin	
dip	botirish	
likewise	xuddi shunday	
informal	norasmiy	
Persian	Fors tili	
feather	patlar	
sphere	soha	
tighten	torting	
boast	maqtanish	
pat	pat		
perceived	qabul qilingan	
sole	sole	
publicity	oshkoralik	
major	katta	
unfold	ochmoq	
well-being	farovonlik	
validity	amal qilish muddati	
ecosystem	ekotizim	
strictly	qat'iy ravishda	
partial	qisman	
collar	yoqa	
weed	o't	
compliance	muvofiqlik	
streak	chiziq	
supposedly	supposedly	
added	qo'shildi	
builder	quruvchi	
glimpse	qarash	
premise	dastlabki shart	
specialty	specialty	
deem	deb hisoblayman	
artifact	artefakt	
sneak	yashirincha	
mentor	murabbiy	
two-thirds	uchdan ikki qismi	
listener	tinglovchi	
lightning	chaqmoq	
legally	qonuniy	
sleeve	yeng	
disappointment	umidsizlik	
disturb	bezovta qilish	
rib	rib	
excessive	haddan tashqari	
high-tech	yuqori texnologiya	
debris	qoldiqlar	
pile	qoziq	
rod	novda	
logical	mantiqiy	
liberal	liberal	
ash	kul	
socially	ijtimoiy jihatdan	
parish	parish	
slavery	qullik	
blank	bo'sh	
commodity	commodity	
mineral	mineral	
hunger	hunger	
developmental	rivojlanish	
halfway	yarim yo'l	
equality	tenglik	
cemetery	qabriston	
harassment	harassment	
deliberately	qasddan	
fame	shuhrat	
striking	ajoyib	
likelihood	likelihood	
carrot	sabzi	
atop	tepada	
toll	toll	
rim	chekka	
cling	yopishmoq	
isolated	izolyatsiya qilingan	
blink	miltillamoq	
suspicious	shubhali	
wheelchair	nogironlar aravachasi	
eligible	loyiq	
processor	protsessor	
plunge	sho'ng'ish	
sponsor	sponsor	
grin	kulish	
demographic	demografik	
chill	sovuq	
refuge	boshpana	
steer	boshqarish	
legislator	qonun chiqaruvchi	
rally	miting	
programming	dasturlash	
cheer	hayqiriq	
outlet	rozetka	
intact	buzilmagan	
vendor	sotuvchi	
thrive	rivojlanmoq	
peanut	yeryong'oq	
chew	chaynash	
elaborate	elaborate	
intellectual	intellektual	
conception	kontseptsiya	
auction	auction	
steak	biftek	
comply	rioya qilish	
triumph	g'alaba	
shareholder	aktsiyador	
comparable	taqqoslanadigan	
transport	transport	
conscience	vijdon	
calculation	hisoblash	
considerably	sezilarli darajada	
interval	oraliq	
scratch	chizish	
jurisdiction	yurisdiktsiya	
inevitably	muqarrar ravishda	
feminist	feministik	
constraint	cheklash	
emotionally	hissiy jihatdan	
expedition	ekspeditsiya	
allegedly	allegedly	
compromise	murosaga kelish	
strain	zo'riqish	
similarity	o'xshashlik	
lid	qopqoq	
bulk	ommaviy	
sprinkle	sepmoq	
mortality	o'lim	
philosophical	falsafiy	
conversion	konversiya	
patron	homiysi	
municipal	shahar	
liver	liver	
harmony	Garmoniya	
solely	faqat	
tolerance	bag'rikenglik	
instant	lahzali	
goat	echki	
blessing	baraka	
banana	banan	
formerly	avval	
peasant	dehqon	
neat	neat	
grandparent	bobosi	
lawmaker	qonun chiqaruvchi	
supermarket	Supermarket	
cruise	kruiz	
mobile	mobil	
calendar	taqvim	
widow	beva ayol	
deposit	depozit	
beard	soqol	
brake	tormoz	
screening	skrining	
impulse	impuls	
forbid	taqiqlash	
fur	mo'yna	
brutal	shafqatsiz	
predator	yirtqich	
poke	poke	
opt	tanlov	
voluntary	ixtiyoriy	
valid	valid	
forum	forum	
happily	baxtli	
soar	uchmoq	
removal	olib tashlash	
autonomy	muxtoriyat	
enact	qabul qilish	
thread	ip	
landmark	belgi	
unhappy	baxtsiz	
offender	huquqbuzar	
privately	privately	
fraction	kasr	
distinctive	o'ziga xos	
tourism	turizm	
threshold	chegara	
routinely	muntazam ravishda	
suite	suite	
remark	izoh	
regulator	regulyator	
straw	somon	
theological	diniy	
exhaust	egzoz	
globe	globus	
fragile	mo'rt	
objection	e'tiroz	
chemistry	kimyo	
old-fashioned	eskirgan	
crowded	olomon	
blast	portlash	
prevail	ustunlik	
overnight	kecha davomida	
denial	rad etish	
rental	ijara	
fragment	parcha	
warmth	issiqlik	
undergraduate	bakalavriat	
liquid	suyuqlik	
headache	bosh og'rig'i	
policeman	politsiyachi	
yield	Yo'l bering	
projection	proektsiya	
suitable	mos	
graduation	Bitiruv	
drill	burg'ulash	
cruel	shafqatsiz	
mansion	qasr	
regard	e'tibor	
grape	uzum	
authorize	avtorizatsiya qilish	
cottage	yozgi uy	
driveway	yo'l	
charm	jozibasi	
sexuality	jinsiylik	
loyal	sodiq	
clay	gil	
pound	funt	
balloon	shar	
invention	kashfiyot	
ego	ego	
fare	tarif	
disc	disk	
sofa	divan	
availability	mavjudlik	
radar	radar	
frown	qovog'ini burishtirdi	
regain	qaytarib olish	
permit	ruxsatnoma	
sweater	sviter	
rehabilitation	reabilitatsiya	
rubber	kauchuk	
retreat	chekinmoq	
molecule	molekula	
freely	erkin	
favorable	qulay	
steadily	barqaror	
veteran	faxriy	
integrated	birlashtirilgan	
youngster	yosh	
broadcast	translyatsiya	
premium	premium	
accountability	javobgarlik	
overwhelm	bosib olmoq	
one-third	uchdan biri	
contemplate	o'ylamoq	
update	yangilash	
spark	uchqun	
ironically	kinoya bilan	
fatigue	charchoq	
speculate	taxmin qilmoq	
marker	marker	
preach	voizlik qiling	
bucket	chelak	
blond	sariq	
confession	tan olish	
provoke	qo'zg'atmoq	
marble	marmar	
substantially	asosan	
twist	burama	
defender	himoyachi	
explicit	aniq	
transport	transport	
disturbing	bezovta qiluvchi	
surveillance	nazorat	
magnetic	magnit	
technician	texnik	
mutter	g'ichirlash	
devastating	halokatli	
depart	depart	
arrow	o'q	
trauma	travma	
neighboring	neighboring	
soak	ho'llash	
ribbon	ribbon	
meantime	bu orada	
transmit	uzatish	
harvest	hosil	
consecutive	ketma-ket	
republican	respublika	
coordinate	muvofiqlashtirish	
worldwide	butun dunyo bo'ylab	
slot	uyasi	
riot	g'alayon	
nutrient	ozuqa moddasi	
citizenship	fuqarolik	
severely	qattiq	
sovereignty	suverenitet	
ridge	tizma	
lighting	yoritish	
specify	belgilang	
contributor	hissa qo'shuvchi	
frustrate	ko'nglini qoldirmoq	
articulate	aniq	
importantly	muhimi	
transit	tranzit	
dense	zich	
seminar	seminar	
electronics	elektronika	
sunny	quyoshli	
shorts	shortilar	
accusation	ayblash	
soften	yumshatish	
photograph	fotosurat	
straighten	straighten	
cue	ishora	
biography	tarjimai holi	
hazard	xavf	
compelling	majburiy	
seldom	seldom	
tile	tile	
economically	iqtisodiy jihatdan	
troubled	bezovta	
twentieth	yigirmanchi	
balanced	muvozanatli	
foreigner	chet ellik	
convenience	qulaylik	
delight	zavq	
weave	to'quv	
timber	yog'och	
accurately	accurately	
plea	iltimos	
bulb	lampochka	
sustainable	barqaror	
bolt	murvat	
cargo	yuk	
spine	umurtqa pog'onasi	
seller	sotuvchi	
skilled	malakali	
managing	boshqarish	
marine	dengiz	
dock	dok	
organized	uyushgan	
fog	tuman	
diplomat	diplomat	
summary	xulosa	
missionary	missioner	
epidemic	epidemiya	
fatal	halokatli	
trim	qirqish	
warehouse	ombor	
accelerate	accelerate	
butterfly	kelebek	
bronze	bronza	
drown	g'arq bo'ling	
inherent	xos	
praise	Maqtov	
nationwide	umummilliy	
harvest	hosil	
kneel	tiz cho'k	
vacuum	vakuum	
selected	selected	
dictate	diktat qilish	
stereotype	stereotip	
sensor	Sensor	
laundry	kir yuvish	
manual	qo'llanma	
pistol	avtomat	
naval	dengiz kuchlari	
plaintiff	da'vogar	
immigrant	muhojir	
middle-class	o'rta sinf	
apology	uzr
